capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-24,1.0,0.0,704.0,0.0,Display,Banten
2018-09-24,9.0,0.0,713.0,0.0,Display,Banten
2018-09-24,17.0,0.0,730.0,0.0,Display,Banten
2018-09-24,6.0,0.0,736.0,0.0,Display,Banten
2018-09-24,5.0,0.0,741.0,0.0,Display,Banten
2018-09-24,0.0,0.0,741.0,0.0,Display,Banten
2018-09-24,16.0,0.0,757.0,0.0,Display,Banten
2018-09-24,8.0,0.0,765.0,0.0,Display,Banten
2018-09-24,17.0,0.0,782.0,0.0,Display,Banten
2018-09-24,1.0,0.0,783.0,0.0,Display,Banten
2018-09-24,2.0,0.0,785.0,0.0,Display,Banten
2018-09-24,1.0,0.0,786.0,0.0,Display,Banten
2018-09-25,13.0,0.0,799.0,0.0,Display,Banten
2018-09-25,1.0,0.0,800.0,0.0,Display,Banten
2018-09-25,6.0,0.0,806.0,0.0,Display,Banten
2018-09-25,1.0,0.0,807.0,0.0,Display,Banten
2018-09-25,19.0,0.0,826.0,0.0,Display,Banten
2018-09-25,5.0,0.0,831.0,0.0,Display,Banten
2018-09-25,14.0,0.0,845.0,0.0,Display,Banten
2018-09-25,0.0,0.0,845.0,0.0,Display,Banten
2018-09-25,3.0,0.0,848.0,0.0,Display,Banten
2018-09-25,11.0,0.0,859.0,0.0,Display,Banten
2018-09-26,4.0,0.0,863.0,0.0,Display,Banten
2018-09-26,3.0,0.0,866.0,0.0,Display,Banten
2018-09-26,0.0,0.0,866.0,0.0,Display,Banten
2018-09-26,3.0,0.0,869.0,0.0,Display,Banten
2018-09-26,2.0,0.0,871.0,0.0,Display,Banten
2018-09-26,12.0,0.0,883.0,0.0,Display,Banten
2018-09-26,27.0,0.0,910.0,0.0,Display,Banten
2018-09-26,1.0,0.0,911.0,0.0,Display,Banten
2018-09-26,1.0,0.0,912.0,0.0,Display,Banten
2018-09-26,5.0,0.0,917.0,0.0,Display,Banten
2018-09-26,9.0,0.0,926.0,0.0,Display,Banten
2018-09-17,70.0,0.0,70.0,0.0,Display,Bengkulu
2018-09-17,1.0,0.0,71.0,0.0,Display,Bengkulu
2018-09-18,69.0,0.0,140.0,0.0,Display,Bengkulu
2018-09-19,41.0,0.0,181.0,0.0,Display,Bengkulu
2018-09-20,30.0,0.0,211.0,0.0,Display,Bengkulu
2018-09-21,4.0,0.0,215.0,0.0,Display,Bengkulu
2018-09-22,2.0,0.0,217.0,0.0,Display,Bengkulu
2018-09-23,7.0,0.0,224.0,0.0,Display,Bengkulu
2018-09-23,1.0,0.0,225.0,0.0,Display,Bengkulu
2018-09-24,6.0,0.0,231.0,0.0,Display,Bengkulu
2018-09-25,5.0,0.0,236.0,0.0,Display,Bengkulu
2018-09-26,1.0,0.0,237.0,0.0,Display,Bengkulu
2018-09-17,0.0,0.0,0.0,0.0,Display,Gorontalo
2018-09-18,2.0,0.0,2.0,0.0,Display,Gorontalo
2018-09-19,6.0,0.0,8.0,0.0,Display,Gorontalo
2018-09-20,6.0,0.0,14.0,0.0,Display,Gorontalo
2018-09-20,0.0,0.0,14.0,0.0,Display,Gorontalo
2018-09-22,0.0,0.0,14.0,0.0,Display,Gorontalo
2018-09-23,1.0,0.0,15.0,0.0,Display,Gorontalo
2018-09-24,0.0,0.0,15.0,0.0,Display,Gorontalo
2018-09-25,2.0,0.0,17.0,0.0,Display,Gorontalo
2018-09-26,1.0,0.0,18.0,0.0,Display,Gorontalo
2018-09-17,1.0,0.0,1.0,0.0,Display,Jakarta Raya
2018-09-17,103.0,0.0,104.0,0.0,Display,Jakarta Raya
2018-09-17,10.0,0.0,114.0,0.0,Display,Jakarta Raya
2018-09-17,8.0,0.0,122.0,0.0,Display,Jakarta Raya
2018-09-17,1089.0,1.0,1211.0,1.0,Display,Jakarta Raya
2018-09-17,1.0,0.0,1212.0,1.0,Display,Jakarta Raya
2018-09-17,0.0,0.0,1212.0,1.0,Display,Jakarta Raya
2018-09-17,8.0,0.0,1220.0,1.0,Display,Jakarta Raya
2018-09-17,246.0,0.0,1466.0,1.0,Display,Jakarta Raya
2018-09-17,0.0,0.0,1466.0,1.0,Display,Jakarta Raya
2018-09-17,2.0,0.0,1468.0,1.0,Display,Jakarta Raya
2018-09-17,2.0,0.0,1470.0,1.0,Display,Jakarta Raya
2018-09-17,1.0,0.0,1471.0,1.0,Display,Jakarta Raya
2018-09-17,42.0,0.0,1513.0,1.0,Display,Jakarta Raya
2018-09-17,13.0,0.0,1526.0,1.0,Display,Jakarta Raya
2018-09-17,0.0,0.0,1526.0,1.0,Display,Jakarta Raya
2018-09-17,61.0,0.0,1587.0,1.0,Display,Jakarta Raya
2018-09-17,13.0,0.0,1600.0,1.0,Display,Jakarta Raya
2018-09-17,2.0,0.0,1602.0,1.0,Display,Jakarta Raya
2018-09-17,1312.0,0.0,2914.0,1.0,Display,Jakarta Raya
2018-09-17,13.0,0.0,2927.0,1.0,Display,Jakarta Raya
2018-09-17,18.0,0.0,2945.0,1.0,Display,Jakarta Raya
2018-09-17,2.0,0.0,2947.0,1.0,Display,Jakarta Raya
2018-09-17,1.0,0.0,2948.0,1.0,Display,Jakarta Raya
2018-09-17,309.0,0.0,3257.0,1.0,Display,Jakarta Raya
2018-09-17,4.0,0.0,3261.0,1.0,Display,Jakarta Raya
2018-09-17,5.0,0.0,3266.0,1.0,Display,Jakarta Raya
2018-09-17,67151.0,62.0,70417.0,63.0,Display,Jakarta Raya
2018-09-17,2.0,0.0,70419.0,63.0,Display,Jakarta Raya
2018-09-17,10.0,0.0,70429.0,63.0,Display,Jakarta Raya
2018-09-17,454.0,1.0,70883.0,64.0,Display,Jakarta Raya
2018-09-17,84.0,0.0,70967.0,64.0,Display,Jakarta Raya
2018-09-17,7.0,0.0,70974.0,64.0,Display,Jakarta Raya
2018-09-17,0.0,0.0,70974.0,64.0,Display,Jakarta Raya
2018-09-18,77.0,0.0,71051.0,64.0,Display,Jakarta Raya
2018-09-18,4.0,0.0,71055.0,64.0,Display,Jakarta Raya
2018-09-18,16.0,0.0,71071.0,64.0,Display,Jakarta Raya
2018-09-18,1.0,0.0,71072.0,64.0,Display,Jakarta Raya
2018-09-18,128.0,0.0,71200.0,64.0,Display,Jakarta Raya
2018-09-18,838.0,0.0,72038.0,64.0,Display,Jakarta Raya
2018-09-18,4.0,0.0,72042.0,64.0,Display,Jakarta Raya
2018-09-18,6.0,0.0,72048.0,64.0,Display,Jakarta Raya
2018-09-18,4.0,0.0,72052.0,64.0,Display,Jakarta Raya
2018-09-18,16.0,0.0,72068.0,64.0,Display,Jakarta Raya
2018-09-18,917.0,1.0,72985.0,65.0,Display,Jakarta Raya
2018-09-18,333.0,1.0,73318.0,66.0,Display,Jakarta Raya
2018-09-18,5.0,0.0,73323.0,66.0,Display,Jakarta Raya
2018-09-18,56763.0,60.0,130086.0,126.0,Display,Jakarta Raya
2018-09-18,269.0,0.0,130355.0,126.0,Display,Jakarta Raya
2018-09-18,2.0,0.0,130357.0,126.0,Display,Jakarta Raya
2018-09-18,4.0,0.0,130361.0,126.0,Display,Jakarta Raya
2018-09-18,10.0,0.0,130371.0,126.0,Display,Jakarta Raya
2018-09-18,37.0,0.0,130408.0,126.0,Display,Jakarta Raya
2018-09-18,7.0,0.0,130415.0,126.0,Display,Jakarta Raya
2018-09-19,7.0,0.0,130422.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,130423.0,126.0,Display,Jakarta Raya
2018-09-19,973.0,0.0,131396.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,131397.0,126.0,Display,Jakarta Raya
2018-09-19,131.0,0.0,131528.0,126.0,Display,Jakarta Raya
2018-09-19,2.0,0.0,131530.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,131531.0,126.0,Display,Jakarta Raya
2018-09-19,13.0,0.0,131544.0,126.0,Display,Jakarta Raya
2018-09-19,0.0,0.0,131544.0,126.0,Display,Jakarta Raya
2018-09-19,4.0,0.0,131548.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,131549.0,126.0,Display,Jakarta Raya
2018-09-19,66.0,0.0,131615.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,131616.0,126.0,Display,Jakarta Raya
2018-09-19,878.0,0.0,132494.0,126.0,Display,Jakarta Raya
2018-09-19,5.0,0.0,132499.0,126.0,Display,Jakarta Raya
2018-09-19,7.0,0.0,132506.0,126.0,Display,Jakarta Raya
2018-09-19,0.0,0.0,132506.0,126.0,Display,Jakarta Raya
2018-09-19,23.0,0.0,132529.0,126.0,Display,Jakarta Raya
2018-09-19,323.0,0.0,132852.0,126.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,132853.0,126.0,Display,Jakarta Raya
2018-09-19,24953.0,15.0,157806.0,141.0,Display,Jakarta Raya
2018-09-19,1.0,0.0,157807.0,141.0,Display,Jakarta Raya
2018-09-19,4.0,0.0,157811.0,141.0,Display,Jakarta Raya
2018-09-19,235.0,1.0,158046.0,142.0,Display,Jakarta Raya
2018-09-19,33.0,0.0,158079.0,142.0,Display,Jakarta Raya
2018-09-19,3.0,0.0,158082.0,142.0,Display,Jakarta Raya
2018-09-20,19.0,0.0,158101.0,142.0,Display,Jakarta Raya
2018-09-20,5.0,0.0,158106.0,142.0,Display,Jakarta Raya
2018-09-20,1.0,0.0,158107.0,142.0,Display,Jakarta Raya
